parcode,trial,rt,choice,item_left,item_right,valid
1,37,5401,-1,0.05,0.5,
1,38,2833,-1,0.5,0.05,
1,39,1746,-1,0,0.5,
1,40,3113,1,0.5,0.8,
1,41,4273,1,0.05,0.5,
1,42,2400,-1,0.5,0.2,
1,43,2710,1,0.35,0.5,
1,44,3446,-1,0.5,0.2,
1,45,3993,-1,0.65,0.5,
1,46,2389,-1,0.65,0.05,
1,47,1404,-1,0.2,0,
1,48,3249,1,0.05,0.2,
1,49,1822,-1,0.35,0,
1,50,1994,-1,0.2,0,
1,51,2700,-1,0.65,0.2,
1,52,1886,-1,0.5,0,
1,53,3326,1,0.65,0.65,
1,54,3299,1,0.2,0.8,
1,55,2521,1,0,0.65,
1,56,2952,-1,0.05,0.5,
1,57,2415,-1,0.35,0.2,
1,58,3498,1,0.2,0.2,
1,59,2270,1,0,0.2,
1,60,2513,1,0.35,0.5,
1,61,2738,1,0.65,0.35,
1,62,3314,-1,0.35,0.5,
1,63,3086,1,0.05,0.2,
1,64,2393,1,0.5,0.5,
1,65,2560,1,0.05,0.2,
1,66,3130,-1,0.65,0.35,
1,67,4404,-1,0.65,0.5,
1,68,1777,-1,0.65,0.2,
1,69,2386,-1,0.5,0.35,
1,70,2762,-1,0.5,0.35,
1,71,1868,-1,0.65,0.2,
1,72,2631,-1,0.65,0.65,
1,73,3073,-1,0.65,0.5,
1,74,2059,1,0,0.35,
1,75,1611,1,0.2,0.65,
1,76,1721,-1,0.5,0,
1,77,2535,1,0.2,0,
1,78,2177,1,0.65,0.5,
1,79,2577,1,0,0.65,
1,80,2741,1,0.5,0.2,
1,81,2186,-1,0,0.65,
1,82,2803,-1,0.05,0.2,
1,83,1702,-1,0,0.35,
1,84,2152,-1,0.2,0.2,
1,85,1414,1,0.2,0.65,
1,86,1979,1,0.5,0.35,
1,87,1929,1,0.5,0.35,
1,88,1618,-1,0,0.65,
1,89,1534,-1,0.2,0,
1,90,1384,-1,0.35,0.5,
1,91,1343,1,0.2,0,
1,92,1683,1,0.2,0,
1,93,2062,1,0.65,0.05,
1,94,1539,1,0.65,0.5,
1,95,1601,1,0.65,0.65,
1,96,1858,-1,0.05,0.2,
1,97,1467,1,0.5,0.5,
1,98,1867,-1,0.65,0.65,
1,99,1450,-1,0.2,0.8,
1,100,2378,-1,0.65,0.5,
1,101,2138,1,0.35,0.5,
1,102,1414,-1,0,0.2,
1,103,1971,-1,0.65,0.35,
1,104,1983,1,0.65,0.2,
1,105,2258,1,0.65,0.2,
1,106,1400,1,0.5,0.2,
1,107,1192,1,0.5,0,
1,108,1291,1,0.65,0.2,
1,109,1035,1,0.35,0.2,
1,110,2068,1,0.05,0.5,
1,111,1164,1,0.5,0,
1,112,1482,-1,0.65,0.5,
1,113,1122,1,0.35,0,
1,114,1763,1,0.05,0.2,
1,115,2008,1,0.65,0.35,
1,116,1831,1,0.05,0.5,
1,117,2109,-1,0.35,0.5,
1,118,1709,1,0.65,0.5,
1,119,1236,-1,0.5,0.8,
1,120,2362,1,0.2,0.65,
1,121,1504,1,0,0.2,
1,122,1769,-1,0.5,0.05,
1,123,1998,1,0.35,0.05,
1,124,1194,1,0.35,0.5,
1,125,1135,1,0.05,0.65,
1,126,1716,-1,0.65,0.5,
1,127,1320,-1,0.5,0.65,
1,128,1241,1,0.2,0.5,
1,129,1278,1,0.8,0.5,
1,130,1160,-1,0.35,0.2,
1,131,1596,-1,0.2,0.35,
1,132,1158,-1,0.65,0.2,
1,133,1504,1,0.5,0.5,
1,134,1069,1,0,0.5,
1,135,1009,1,0.2,0.65,
1,136,1124,1,0.65,0.65,
1,137,1174,-1,0.5,0.2,
1,138,1020,-1,0.65,0,
1,139,1150,1,0,0.35,
1,140,1254,-1,0.65,0.5,
1,141,1898,-1,0.5,0,
1,142,1184,1,0.2,0.35,
1,143,1012,-1,0.8,0,
1,144,2056,-1,0.35,0.65,
1,145,1025,-1,0.2,0,
1,146,1123,1,0.35,0.5,
1,147,1224,1,0,0.2,
1,148,1927,-1,0.5,0.2,
1,149,1103,-1,0.8,0.5,
1,150,1177,1,0,0.5,
1,151,1173,1,0.5,0.65,
1,152,1127,1,0.35,0.35,
1,153,1540,1,0.2,0.05,
1,154,1574,1,0.35,0.5,
1,155,1212,-1,0.2,0.05,
1,156,1247,1,0.2,0.35,
1,157,1096,1,0.2,0.65,
1,158,1163,-1,0.65,0.2,
1,159,1068,-1,0.35,0,
1,160,1524,1,0.2,0,
1,161,1581,1,0.65,0.5,
1,162,1901,1,0.2,0.05,
1,163,1353,-1,0.35,0.5,
1,164,1977,1,0.35,0,
1,165,2311,-1,0.65,0.65,
1,166,4034,1,0.35,0.2,
1,167,4496,-1,0.05,0.65,
1,168,3360,1,0.65,0.2,
1,169,2518,1,0.2,0.05,
1,170,2633,-1,0.5,0,
1,171,1823,-1,0,0.2,
1,172,1877,-1,0.35,0.5,
1,173,1594,-1,0,0.2,
1,174,1612,-1,0.35,0.5,
1,175,1802,-1,0,0.5,
1,176,1411,-1,0.2,0.65,
1,177,1388,-1,0,0.5,
1,178,1358,1,0.2,0.35,
1,179,1781,-1,0.5,0.05,
1,180,1297,-1,0.8,0.5,
1,181,1113,-1,0.2,0.65,
1,182,2545,-1,0.5,0.2,
1,183,1569,-1,0.35,0.05,
1,184,2018,-1,0.5,0.65,
1,185,1145,1,0.5,0.2,
1,186,1527,-1,0.2,0.35,
1,187,1212,1,0.65,0.5,
1,188,1160,1,0.5,0.65,
1,189,1098,1,0.8,0.5,
1,190,1057,-1,0.2,0.65,
1,191,838,1,0.8,0,
1,192,1373,-1,0.5,0.5,
1,193,1476,-1,0,0.35,
1,194,1187,-1,0.2,0.5,
1,195,1047,1,0.35,0.65,
1,196,1063,1,0.65,0.2,
1,197,861,-1,0.35,0.35,
1,198,1220,-1,0.2,0.35,
1,199,757,1,0.65,0,
1,200,1829,1,0.5,0.8,
1,201,1958,1,0.05,0.5,
1,202,1335,-1,0.5,0.2,
1,203,1560,-1,0.35,0.5,
1,204,1322,-1,0.5,0.2,
1,205,1545,-1,0.65,0.5,
1,206,1385,-1,0.65,0.05,
1,207,2884,-1,0.2,0,
1,208,1358,1,0.05,0.2,
1,209,1663,-1,0.35,0,
1,210,1382,-1,0.2,0,
1,211,3400,-1,0.65,0.2,
1,212,1058,-1,0.5,0,
1,213,882,1,0.65,0.65,
1,214,1057,1,0.2,0.8,
1,215,1229,1,0,0.65,
1,216,1375,-1,0.05,0.5,
1,217,819,-1,0.35,0.2,
1,218,1925,1,0.2,0.2,
1,219,1062,1,0,0.2,
1,220,1320,1,0.35,0.5,
1,221,1068,1,0.65,0.35,
1,222,1506,-1,0.35,0.5,
1,223,883,1,0.05,0.2,
1,224,959,1,0.5,0.5,
1,225,1317,1,0.05,0.2,
1,226,1176,-1,0.65,0.35,
1,227,1196,-1,0.65,0.5,
1,228,1045,-1,0.65,0.2,
1,229,1060,-1,0.5,0.35,
1,230,1112,-1,0.5,0.35,
1,231,1471,-1,0.65,0.2,
1,232,1188,-1,0.65,0.65,
1,233,1411,-1,0.65,0.5,
1,234,1345,1,0,0.35,
1,235,992,1,0.2,0.65,
1,236,816,-1,0.5,0,
1,237,1740,1,0.2,0,
1,238,1032,1,0.65,0.5,
1,239,1124,1,0,0.65,
2,0,4203,-1,1.1,2.3,
2,1,4734,1,2.75,2.15,
2,2,4187,-1,0.5,2.6,
2,3,2945,-1,0,0,
2,4,3554,1,2.3,0.95,
2,5,5791,1,1.1,0.2,
2,6,630,-1,1.1,1.25,
2,7,3815,-1,0.95,1.95,
2,8,5328,1,0.65,0,
2,9,6404,-1,2.75,2.15,
2,10,2052,-1,0,2.75,
2,11,5112,1,1.7,1.25,
2,12,2769,-1,2,3,
2,13,3526,-1,2.6,2,
2,14,6337,1,1.25,0.35,
2,15,2655,-1,0.5,2.9,
2,16,2385,1,0.95,0.5,
2,17,1899,1,0.35,0.5,
2,18,2165,1,1.1,0,
2,19,2011,1,0.95,0,
2,20,4543,1,0,0,
2,21,3104,-1,0.35,3,
2,22,3357,1,0.35,0.05,
2,23,2669,-1,0,1.4,
2,24,3132,1,0.65,0,
2,25,8554,1,0.95,0.65,
2,26,4247,-1,3,2.3,
2,27,4917,-1,0.2,1.25,
2,28,5040,1,0.35,1.1,
2,29,2385,1,2.3,0,
2,30,2413,-1,0.2,1.95,
2,31,2459,-1,0.95,2.3,
2,32,4277,-1,1.25,0.35,
2,33,3671,1,0.05,0.2,
2,34,1866,1,3,0,
2,35,2340,-1,0.5,0.65,
2,36,4751,-1,0,2.75,
2,37,5185,1,0,0,
2,38,2073,1,2,0.05,
2,39,2031,-1,0,2,
2,40,4138,-1,0.95,0,
2,41,1615,-1,1.1,0,
2,42,1521,-1,0.95,0.5,
2,43,1833,-1,2.3,0,
2,44,1921,1,0.5,2.6,
2,45,1472,-1,2,0.05,
2,46,3630,-1,1.1,0.2,
2,47,2730,-1,1.25,0.35,
2,48,5770,-1,2.75,2.15,
2,49,2833,-1,0.05,0.2,
2,50,1616,-1,0.65,0,
2,51,1776,1,0,1.4,
2,52,1554,1,0.2,1.95,
2,53,2881,-1,0,0,
2,54,2592,-1,0.65,0,
2,55,1966,1,0.95,2.3,
2,56,4961,1,1.25,0.35,
2,57,4289,1,0,0,
2,58,2382,1,2,3,
2,59,1627,-1,3,0,
2,60,1506,1,0,2,
2,61,3071,1,0,2.75,
2,62,1683,1,0.5,2.9,
2,63,1869,-1,2.3,0.95,
2,64,1236,-1,0.35,0.05,
2,65,5758,1,3,2.3,
2,66,3641,-1,1.1,1.25,
2,67,1984,-1,0,0,
2,68,2387,1,0.35,3,
2,69,1672,1,0.95,1.95,
2,70,3178,-1,0.35,1.1,
2,71,4034,-1,1.7,1.25,
2,72,2266,1,0.2,1.25,
2,73,9110,1,2.75,2.15,
2,74,1914,-1,0.95,0.65,
2,75,2310,1,2.6,2,
2,76,3482,-1,0.35,0.5,
2,77,2185,1,0,2.75,
2,78,1643,1,0.5,0.65,
2,79,6848,1,1.1,2.3,
2,80,1964,-1,1.25,2.15,
2,81,2323,1,2,0,
2,82,2812,1,1.25,0.2,
2,83,2225,-1,0,0,
2,84,1786,1,1.95,0.2,
2,85,1676,-1,0.2,0.05,
2,86,2207,-1,0,0.35,
2,87,1493,-1,0,0.5,
2,88,5068,1,2.15,0.5,
2,89,3112,1,2.15,2.75,
2,90,4139,1,0.5,1.7,
2,91,2312,1,2.9,0.5,
2,92,2852,-1,0,0.35,
2,93,3026,1,2,2.6,
2,94,3254,-1,0.65,2.3,
2,95,2383,-1,0,2.15,
2,96,2269,1,2.75,0,
2,97,1511,-1,0.05,2.75,
2,98,14774,-1,1.25,1.7,
2,99,2133,1,2.15,0,
2,100,3904,1,2.9,1.1,
2,101,3875,-1,0.2,0.2,
2,102,2880,-1,0,0.65,
2,103,1806,-1,0,0.65,
2,104,2263,-1,0.35,2.85,
2,105,7731,1,2.6,0.5,
2,106,3051,-1,0.35,1.25,
2,107,2542,-1,0.5,2.6,
2,108,3003,1,2.3,0.95,
2,109,2876,1,2.6,2.75,
2,110,1992,1,1.1,0.65,
2,111,2447,-1,0.2,1.1,
2,112,4018,-1,0,2.3,
2,113,3263,1,0.35,1.25,
2,114,2281,-1,0,0,
2,115,6951,-1,0.35,0.5,
2,116,3526,1,1.95,0.95,
2,117,2094,1,3,0.35,
2,118,3462,-1,2.3,2.85,
2,119,1916,1,1.1,1.4,
2,120,3014,-1,1.95,0.95,
2,121,1248,-1,1.95,0.2,
2,122,1962,-1,2,0,
2,123,1814,1,0.35,2.85,
2,124,2794,1,0,0,
2,125,4583,-1,0.35,0.5,
2,126,5363,1,0.2,0.2,
2,127,3832,1,0.35,1.25,
2,128,1041,-1,2.15,0,
2,129,2045,1,0.05,2.75,
2,130,1479,-1,2.6,0.5,
2,131,1750,-1,0.35,1.25,
2,132,2726,-1,2.9,1.1,
2,133,2387,1,0.2,0.05,
2,134,1629,1,0.5,2.6,
2,135,3360,-1,2.75,0,
2,136,1625,-1,2,2.6,
2,137,1991,1,0,0.65,
2,138,5695,1,0,0,
2,139,1470,1,0.2,1.1,
2,140,1108,1,0,2.3,
2,141,1263,1,0,0.5,
2,142,1223,1,0.65,2.3,
2,143,944,1,0,2.15,
2,144,966,-1,3,0.35,
2,145,1471,-1,2.9,0.5,
2,146,1325,-1,2.3,0.95,
2,147,2047,-1,0.5,1.7,
2,148,1318,1,0,0.65,
2,149,1410,-1,2.6,2.75,
2,150,1109,-1,1.1,0.65,
2,151,2158,1,0,0.35,
2,152,3687,-1,1.25,1.7,
2,153,2117,-1,1.1,1.4,
2,154,1499,-1,2.15,2.75,
2,155,871,1,1.25,2.15,
2,156,1230,-1,2.15,0.5,
2,157,1466,-1,1.25,0.2,
2,158,1764,1,2.3,2.85,
2,159,2222,1,0,0.35,
2,160,4374,-1,1.25,1.1,
2,161,1255,1,0,3,
2,162,2214,1,0.5,0,
2,163,1485,1,2.75,0.05,
2,164,1662,1,0.35,0,
2,165,1511,-1,0.5,2.15,
2,166,2811,-1,2.15,2.75,
2,167,2105,1,2.75,0,
2,168,1197,-1,0,2.15,
2,169,1095,-1,0,1.1,
2,170,2910,-1,1.7,0.5,
2,171,430,-1,0,0.95,
2,172,2373,1,2.3,0,
2,173,1275,-1,1.1,2.9,
2,174,2077,-1,0.65,0.95,
2,175,4286,1,2.3,1.1,
2,176,3626,-1,2.3,3,
2,177,2098,-1,2.75,2.6,
2,178,2018,-1,0.5,0.35,
2,179,2155,-1,1.1,0.35,
2,180,1312,-1,0,2.3,
2,181,2025,-1,0,0,
2,182,2711,-1,0.35,0,
2,183,1879,1,0.05,0.35,
2,184,2481,1,2.3,0.65,
2,185,1066,-1,1.4,1.1,
2,186,1863,1,3,2,
2,187,6252,-1,0.5,0.35,
2,188,1516,1,0.65,0.5,
2,189,1693,-1,0.05,2,
2,190,1415,1,2.6,0.5,
2,191,1477,1,2.15,0,
2,192,1115,-1,0.65,1.1,
2,193,2117,-1,0.95,2.3,
2,194,3668,1,1.4,0,
2,195,1212,1,2.15,1.25,
2,196,1658,1,2.85,0.35,
2,197,1081,-1,0.5,0.95,
2,198,1605,1,0.2,0.2,
2,199,2735,1,2.85,2.3,
2,200,1351,-1,0.35,0,
2,201,1418,1,0.5,0.95,
2,202,1152,1,0,1.1,
2,203,2764,1,1.25,1.1,
2,204,2555,1,2.75,2.6,
2,205,1966,1,0,3,
2,206,1839,1,0.65,1.1,
2,207,1619,-1,2.15,1.25,
2,208,4705,1,2.3,3,
2,209,1404,-1,0.65,0.5,
2,210,2197,-1,2.3,0,
2,211,2248,-1,2.85,2.3,
2,212,2783,-1,2.3,1.1,
2,213,1276,1,0.5,0.35,
2,214,1925,-1,0.35,0,
2,215,1836,-1,3,2,
2,216,2134,-1,2.3,0.65,
2,217,1352,1,0,2.15,
2,218,1285,-1,2.85,0.35,
2,219,1344,1,0,0.95,
2,220,1834,1,1.7,0.5,
2,221,2169,1,1.1,0.35,
2,222,1192,-1,2.15,0,
2,223,1448,1,1.1,2.9,
2,224,1618,1,0.05,2,
2,225,2337,-1,0.2,0.2,
2,226,1817,-1,2.75,0,
2,227,953,-1,2.75,0.05,
2,228,1666,1,0.65,0.95,
2,229,1120,-1,2.6,0.5,
2,230,1819,1,0.95,2.3,
2,231,1672,1,1.4,1.1,
2,232,4290,-1,0.5,0,
2,233,1477,1,2.15,2.75,
2,234,1372,1,0,2.3,
2,235,1507,1,0.5,2.15,
2,236,2567,-1,1.4,0,
2,237,1513,1,0,0,
2,238,1648,1,0.05,0.35,
2,239,1125,1,0.5,0.35,
3,0,4777,-1,0,0.95,
3,1,7090,-1,0.05,0.95,
3,2,4338,1,1.55,0.05,
3,3,11097,-1,1.1,0.95,
3,4,5289,-1,0.95,1.1,
3,5,3754,1,1.1,0.5,
3,6,3146,-1,0.35,1.1,
3,7,2635,1,1.7,1.4,
3,8,3422,-1,0,0.5,
3,9,9677,1,2.45,1.1,
3,10,2342,-1,0,0.05,
3,11,2643,1,1.25,0.5,
3,12,2593,-1,0.95,1.55,
3,13,2975,-1,0,0.05,
3,14,3094,-1,0.95,1.1,
3,15,2419,1,0.65,0,
3,16,9847,1,1.4,0.95,
3,17,2667,1,0.95,0.05,
3,18,2451,1,0.65,0,
3,19,1832,-1,0,0.05,
3,20,4519,-1,0.05,0.95,
3,21,2357,-1,0.05,1.1,
3,22,2320,-1,0.35,0.8,
