parcode,trial,rt_mili,choice,item_left,item_right,subjidx,rt,response
3,118,1366,-1,0.05,0.65,3,1.366,1
3,119,3515,-1,0.95,0.95,3,3.515,1
4,0,5222,1,0,0,4,5.222,1
4,1,3005,1,0.65,0,4,3.005,1
4,2,4264,-1,0,0,4,4.264,1
4,3,3576,-1,0.5,0.95,4,3.576,1
4,4,4101,1,0.8,0.65,4,4.101,1
4,5,3769,-1,0,0.8,4,3.769,1
4,6,5630,-1,0,0,4,5.63,1
4,7,7975,1,0.5,0,4,7.975,1
4,8,3312,-1,0,0.65,4,3.312,1
4,9,6307,-1,0.05,0.2,4,6.307,1
4,10,2421,-1,0,0.8,4,2.421,1
4,11,3952,1,0.6,0.35,4,3.952,1
4,12,3593,-1,0,0.05,4,3.593,1
4,13,2755,1,1.1,0,4,2.755,1
4,14,2761,1,0.2,0,4,2.761,1
4,15,2862,-1,0.35,0.8,4,2.862,1
4,16,3387,1,0.05,0,4,3.387,1
4,17,7527,-1,0.5,0.65,4,7.527,1
4,18,2628,-1,0,0,4,2.628,1
4,19,2234,-1,0,0.05,4,2.234,1
4,20,7720,-1,0.5,1.1,4,7.72,1
4,21,2831,-1,0,0.8,4,2.831,1
4,22,9213,1,0,0,4,9.213,1
4,23,2965,-1,0,0.95,4,2.965,1
4,24,2774,1,0.05,0,4,2.774,1
4,25,5143,-1,0,0,4,5.143,1
4,26,2852,-1,0,1.1,4,2.852,1
4,27,4989,-1,0,0.5,4,4.989,1
4,28,3957,1,0.5,0,4,3.957,1
4,29,2622,-1,0,0.95,4,2.622,1
4,30,3354,1,1.1,0.05,4,3.354,1
4,31,1733,1,0.6,0,4,1.733,1
4,32,3966,-1,0,0,4,3.966,1
4,33,5645,-1,0.05,0,4,5.645,0
4,34,7195,-1,0,0,4,7.195,1
4,35,1676,1,1.1,0,4,1.676,1
4,36,1211,1,0.8,0.5,4,1.211,1
4,37,1440,1,0,0,4,1.44,1
4,38,3679,-1,0.05,0.2,4,3.679,1
4,39,2146,-1,0,0,4,2.146,1
4,40,2987,1,0,0,4,2.987,1
4,41,1400,1,0,0,4,1.4,1
4,42,1921,1,0,0,4,1.921,1
4,43,5268,-1,0.8,0.8,4,5.268,1
4,44,5303,-1,0,1.1,4,5.303,1
4,45,1447,1,0.8,0,4,1.447,1
4,46,1275,-1,0,0.5,4,1.275,1
4,47,2740,-1,0,0.2,4,2.74,1
4,48,1491,1,0,0,4,1.491,1
4,49,1521,-1,0.5,0.8,4,1.521,1
4,50,1373,-1,0,0,4,1.373,1
4,51,1781,1,0.5,0,4,1.781,1
4,52,2364,1,0.65,0.05,4,2.364,1
4,53,3183,1,0.65,0.5,4,3.183,1
4,54,2299,1,0,0,4,2.299,1
4,55,1407,1,1.1,0,4,1.407,1
4,56,1452,1,0.8,0.35,4,1.452,1
4,57,1164,-1,0,0.65,4,1.164,1
4,58,2983,1,0.35,0,4,2.983,1
4,59,1923,1,0.05,0,4,1.923,1
4,60,876,-1,0,1.1,4,0.876,1
4,61,2857,1,0,0,4,2.857,1
4,62,2844,1,0,0,4,2.844,1
4,63,2683,1,0.8,0,4,2.683,1
4,64,1196,1,0,0,4,1.196,1
4,65,1227,-1,0,0.05,4,1.227,1
4,66,1266,1,0.8,0,4,1.266,1
4,67,1336,1,0.65,0,4,1.336,1
