Subject,Included,Session,Item_ID,Item,Onset,Size,Value,Confidence,Match,Familiarity,Consumption_rate,RT1,RT2,Age,Years_in_UK,Grams,Energy,Fat,of_which_saturates,Carbohydrate,of_which_sugars,Fibre,Protein,Salt,Size1,Size2,Size3,Real_price,Assigned_price
1,0,2,18,18_jacobs_mini_cheddars_1.png,144.1,       NaN,1.026667,4.85,NaN,NaN,NaN,3.966,1.6165,NaN,NaN,25,512,29.2,11.6,50.1,5.1,2.5,10.6,2.5,11,11,2,£0.26 ,NaN
1,0,2,17,17_fruit_pastilles_1.png,147.9,       NaN,1.56,NaN,4.15,NaN,NaN,3.6493,1.733,NaN,NaN,52.5,352,0.1,0,82.6,55.9,0.1,4.1,0.3,13.5,1.5,1.5,£0.38 ,NaN
1,0,2,67,67_nestle_aero_1.png,151.8,       NaN,0.5333333,NaN,4.5,NaN,NaN,3.616,1.733,NaN,NaN,27,539,30.8,17.6,57.8,56.2,2.2,6.5,0.21,16,3,2,£0.38 ,NaN
1,0,2,43,43_marshmallows_1.png,155.6,       NaN,1.04,5.55,NaN,NaN,NaN,3.6826,1.6497,NaN,NaN,200,328,trace,trace,78.5,62.3,trace,3.4,0.05,17,22,3,£1.00 ,NaN
1,0,2,47,47_rocky_road_1.png,159.8,       NaN,0.6,4.65,NaN,NaN,NaN,4.8826,1.5163,NaN,NaN,165,470,20.3,12.1,65.2,49.7,2.1,5.6,0.3,17,14.5,6.5,£1.60 ,NaN
1,0,2,34,34_milkyway_1.png,163.8,       NaN,2.866667,5.3,NaN,NaN,NaN,3.4816,1.4997,NaN,NaN,21.5,447,15.8,7.8,71.9,65.1,NA,3.9,0.52,10,3,1.5,£0.21 ,NaN
1,0,2,64,64_walkers_cheese_and_onion_1.png,167.7,       NaN,2.6,5.75,NaN,NaN,NaN,2.9327,1.9991,NaN,NaN,25,520,30.6,2.5,52.6,2.6,4.4,6.3,1.22,13,16,2.5,£0.25 ,NaN
1,0,2,8,8_skittles_wildberry_1.png,171.5,       NaN,0.3066667,4.8,NaN,NaN,NaN,1.2494,1.2999,NaN,NaN,174,404,4.2,2.3,91,90.2,NA,0,0.02,12,17,3,£0.97 ,NaN
1,0,2,54,54_guylian_1.png,175.3,       NaN,0.5466667,NaN,4.5,NaN,NaN,3.0993,1.883,NaN,NaN,42,550,34,16,52,51,NA,7.6,0.21,9.5,9.5,3,£1.00 ,NaN
1,0,2,65,65_walkers_ready_salted_1.png,179.5,       NaN,1.146667,5.1,NaN,NaN,NaN,3.6826,1.4997,NaN,NaN,25,526,31.9,2.6,51.5,0.4,4.3,6.1,1.4,13,16,2.5,£0.25 ,NaN
