,Participant,Session,Choice,RT,ChosenValue,UnchosenValue,DiffValue,AbsDiffValue,TotalValue,ChosenFam,UnchosenFam,DiffFam,AbsDiffFam,TotalFam,Confidence,zRT,zChosenValue,zUnchosenValue,zDiffValue,zAbsDiffValue,zTotalValue,zChosenFam,zUnchosenFam,zDiffFam,zAbsDiffFam,zTotalFam,zConfidence,RVal,LVal,RFam,LFam,zRVal,zLVal,zRFam,zLFam,ConfSplit
5913,25,2,0,820,1.62,0.888,0.732,0.732,2.508,6,4,0,0,10,149.13,-0.16373,-0.41321,-0.92222,0.85962,0.85962,-0.81287,0.50048,0.04843,-0.10554000000000001,0.10554000000000001,0.31579,-0.83665,0.888,1.62,4,6,-1.178353968477977,0.07779403460819224,-0.2824314529055948,0.7911380633793905,0.0
5914,25,2,1,844,2.376,1.284,-1.092,1.092,3.66,6,6,0,0,12,455.96,-0.08346100000000001,0.87326,-0.12382,-1.3028,1.3028,0.5244300000000001,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,1.068,2.376,1.284,6,6,1.3853473067326507,-0.4976521265961326,0.7965201649360034,0.7911380633793905,1.0
5915,25,2,0,1133,1.848,0.7440000000000001,1.104,1.104,2.592,3,2,0,0,5,354.69,0.8831700000000001,-0.025225,-1.2126,1.3006,1.3006,-0.71536,-1.3491,-0.9807,-0.10554000000000001,0.10554000000000001,-1.4272,0.43941,0.7440000000000001,1.848,2,3,-1.426454091885457,0.46827535828255545,-1.361383070747193,-0.8260178978369987,0.0
5916,25,2,0,725,1.848,1.392,0.456,0.456,3.24,3,2,0,0,5,111.53,-0.48148,-0.025225,0.09393,0.53241,0.53241,0.036874000000000004,-1.3491,-0.9807,-0.10554000000000001,0.10554000000000001,-1.4272,-1.0701,1.392,1.848,2,3,-0.3100035365517967,0.46827535828255545,-1.361383070747193,-0.8260178978369987,0.0
5917,25,2,1,690,2.364,0.996,-1.368,1.368,3.36,6,5,-1,1,11,486.59,-0.59855,0.8528399999999999,-0.70448,-1.63,1.63,0.17618,0.50048,0.563,-1.6007,1.6007,0.66438,1.2582,2.364,0.996,6,5,1.364672296448694,-0.9908916933426968,0.7965201649360034,0.25208607630726076,1.0
5918,25,2,1,1301,1.8719999999999999,1.68,-0.192,0.192,3.552,6,6,0,0,12,161.51,1.4451,0.015615,0.6745899999999999,-0.23583,0.23583,0.39905999999999997,0.50048,1.0776,-0.10554000000000001,0.10554000000000001,1.013,-0.75983,1.8719999999999999,1.68,6,6,0.5169968748064703,0.1805522776803928,0.7965201649360034,0.7911380633793905,0.0
5919,25,2,0,835,1.9680000000000002,0.996,0.972,0.972,2.964,6,5,1,1,11,350.48,-0.11356,0.17898,-0.70448,1.1442,1.1442,-0.28352,0.50048,0.563,1.3896,1.3896,0.66438,0.41325,0.996,1.9680000000000002,5,6,-0.9922788759223669,0.6737918444269573,0.2570443560152043,0.7911380633793905,0.0
5920,25,2,0,860,1.62,2.004,-0.384,0.384,3.6239999999999997,6,4,0,0,10,320.28,-0.029945,-0.41321,1.3278,-0.46345,0.46345,0.48263999999999996,0.50048,0.04843,-0.10554000000000001,0.10554000000000001,0.31579,0.22579000000000002,2.004,1.62,4,6,0.7444219879299939,0.07779403460819224,-0.2824314529055948,0.7911380633793905,0.0
5921,25,2,0,891,2.364,1.8,0.564,0.564,4.164,6,5,0,0,11,378.98,0.073742,0.8528399999999999,0.91653,0.66045,0.66045,1.1095,0.50048,0.563,-0.10554000000000001,0.10554000000000001,0.66438,0.59016,1.8,2.364,5,6,0.3929468131027305,1.3519962487034825,0.2570443560152043,0.7911380633793905,1.0
5922,25,2,0,717,2.376,1.7280000000000002,0.648,0.648,4.104,6,2,0,0,8,442.35,-0.5082399999999999,0.87326,0.77136,0.76003,0.76003,1.0399,0.50048,-0.9807,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,0.98354,1.7280000000000002,2.376,2,6,0.2688967513989907,1.3725478973179226,-1.361383070747193,0.7911380633793905,1.0
5923,25,2,1,1305,1.62,1.8,0.18,0.18,3.42,6,5,0,0,11,99.414,1.4585,-0.41321,0.91653,0.2052,0.2052,0.24583000000000002,0.50048,0.563,-0.10554000000000001,0.10554000000000001,0.66438,-1.1453,1.62,1.8,6,5,0.08282165884338048,0.38606876382479466,0.7965201649360034,0.25208607630726076,0.0
5924,25,2,0,696,1.8719999999999999,2.004,-0.132,0.132,3.8760000000000003,6,4,0,0,10,413.74,-0.57848,0.015615,1.3278,-0.16469,0.16469,0.77518,0.50048,0.04843,-0.10554000000000001,0.10554000000000001,0.31579,0.80592,2.004,1.8719999999999999,4,6,0.7444219879299939,0.5093786555114355,-0.2824314529055948,0.7911380633793905,1.0
5925,25,2,0,1097,1.392,0.888,0.504,0.504,2.28,2,4,0,0,6,51.705,0.76276,-0.80119,-0.92222,0.58932,0.58932,-1.0775,-1.9656,0.04843,-0.10554000000000001,0.10554000000000001,-1.0786,-1.4414,0.888,1.392,4,2,-1.178353968477977,-0.3126872890661713,-0.2824314529055948,-1.3650698849091285,0.0
5926,25,2,0,1163,0.996,1.8,-0.804,0.804,2.7960000000000003,5,5,-1,1,10,55.873000000000005,0.98351,-1.475,0.91653,-0.9613799999999999,0.9613799999999999,-0.47855,-0.11605,0.563,-1.6007,1.6007,0.31579,-1.4156,1.8,0.996,5,5,0.3929468131027305,-0.9908916933426968,0.2570443560152043,0.25208607630726076,0.0
5927,25,2,1,749,2.496,0.8640000000000001,-1.632,1.632,3.36,6,1,-2,2,7,438.75,-0.40121,1.0775,-0.9706100000000001,-1.943,1.943,0.17618,0.50048,-1.4953,-3.0958,3.0958,-0.73,0.9611799999999999,2.496,0.8640000000000001,6,1,1.5920974095722176,-1.2169598281015384,0.7965201649360034,-1.9041218719812583,1.0
5928,25,2,1,809,2.004,0.888,-1.1159999999999999,1.1159999999999999,2.892,4,4,0,0,8,81.477,-0.20052999999999999,0.24024,-0.92222,-1.3313,1.3313,-0.3671,-0.73258,0.04843,-0.10554000000000001,0.10554000000000001,-0.38140999999999997,-1.2566,2.004,0.888,4,4,0.7444219879299939,-1.1758565308726583,-0.2824314529055948,-0.286965910764869,0.0
