Part,Trial,1stFixation,1stFixationTime,LastFixation,LastFixationTime,firstFixValue,firstFixFam,lastFixValue,lastFixFam,fixatNum,middleFixNum,mostPopularFix,numMostPopularFix,mostPopularFixMed,numMostPopularFixMed,middleFixTime,middleFixTimeAvg,TotalTime
0,163,1,554,2,132,2.0,4.83,1.85,4.83,8,6,2,5,2.0,4.0,1686,281.0,2372
0,164,1,338,1,356,2.0,5.0,2.0,5.0,15,13,1,7,2.0,7.0,3491,268.53846153846155,4185
0,165,1,562,2,172,1.1,4.33,1.25,4.58,10,8,2,6,2.0,5.0,2695,336.875,3429
0,166,1,190,1,403,1.4,3.83,1.4,3.83,6,4,1,4,1.0,3.0,1451,362.75,2044
0,167,0,196,2,456,,,0.95,1.08,9,7,1,4,1.0,4.0,1890,270.0,2542
0,168,1,406,2,364,2.0,4.33,1.25,4.58,5,3,1,2,1.0,2.0,806,268.6666666666667,1576
0,169,1,356,1,494,1.1,1.33,1.1,1.33,7,5,1,3,2.0,3.0,1647,329.4,2497
0,170,1,360,2,179,1.85,4.83,1.1,4.33,8,6,2,4,1.0,3.0,1972,328.6666666666667,2511
0,171,1,254,2,245,1.55,5.0,1.55,2.83,5,3,1,2,1.0,2.0,1065,355.0,1564
0,172,1,342,2,405,1.55,3.83,0.95,3.83,5,3,1,2,1.0,2.0,869,289.6666666666667,1616
0,173,1,324,2,279,2.0,4.83,1.7,4.58,9,7,1,4,1.0,4.0,2384,340.57142857142856,2987
0,174,1,378,1,366,1.7,5.0,1.7,5.0,9,7,1,4,2.0,4.0,2881,411.57142857142856,3625
0,175,1,316,1,293,1.1,4.33,1.1,4.33,6,4,1,3,1.0,2.0,1617,404.25,2226
0,176,1,332,1,165,0.8,4.33,0.8,4.33,7,5,1,4,1.0,3.0,1682,336.4,2179
0,177,1,426,1,364,0.65,0.33,0.65,0.33,6,4,1,3,1.0,2.0,1057,264.25,1847
0,178,0,216,2,517,,,0.65,0.0,6,4,1,3,1.0,3.0,836,209.0,1569
