,Part,TrialN,PairID,L_Item,L_Value,R_Item,R_Value,ChosenITM,ChoiceRT,Conf,ConfRT,BlockCond,tDDT,L_IA_DT,R_IA_DT,tGSF,lastFixat,DV,zDV,absDV,zAbsDV,zConf,zChoiceRT,FamLeft,FamRight,Tot_Fam,Tot_Val,FamChosen,FamUnChosen,ValChosen,ValUnChosen,Correct,ZtotFam,ZtotVal,ZValCh,ZValUnCh,ZFamCh,ZFamUnCh,ztGSF,ztDDT,absDDT,ConfSplit,GSFMedSplit,DDTMedSplit,absDDTMedSplit,,higher,lower,,higher,lower,,higher,lower
32,1,33,13,117_yogurt_raisins.png,1.25,103_nakd_berry.png,1.85,1,5341,62,1571,2,-982,2754,1772,3,2,0.6,0.968245837,0.6,0.264527506,-0.764156809,1.365944394,3.08,2.58,5.66,3.1,2.58,3.08,1.85,1.25,0,-0.904503936,0.16633696,0.815768765,-0.561113315,-0.884549603,-0.480102983,0.335643363,-1.392732289,1.392732289,0,0,0,0,,0,-1.392732289,,0,-0.764156809,,0,0.335643363
33,1,34,57,40_nestle_rolo.png,1.1,48_mentos_mint.png,0.95,1,2183,74,2091,2,1729,638,2367,1,2,-0.15,-0.242061459,0.15,-0.988497522,0.133384631,-0.622047455,4.08,3.58,7.66,2.05,3.58,4.08,0.95,1.1,1,0.035728846,-1.497032638,-1.245120746,-0.896106338,-0.167274525,0.214901034,-1.156104918,2.441760502,2.441760502,1,1,0,0,,0,2.441760502,,0.133384631,0,,-1.156104918,0
34,1,35,10,48_mentos_mint.png,0.95,14_maltesers.png,1.85,0,3207,68,2466,2,438,1128,1566,2,1,0.9,1.452368755,0.9,1.099877524,-0.315386089,0.022570548,3.58,5,8.58,2.8,3.58,5,0.95,1.85,1,0.468235925,-0.308911497,-1.245120746,0.77885878,-0.167274525,0.854304728,-0.410230777,0.615744201,0.615744201,0,1,1,1,,0.615744201,0,,0,-0.315386089,,-0.410230777,0
35,1,36,36,58_walnut_whip.png,1.1,23_kp_grazing_mix.png,1.55,1,3224,58,3722,2,888,920,1808,3,2,0.45,0.726184377,0.45,-0.153147503,-1.063337288,0.033272214,0.33,2.58,2.91,2.65,2.58,0.33,1.55,1.1,0,-2.19732401,-0.546535725,0.128805594,-0.896106338,-0.884549603,-2.391364027,0.335643363,1.252233229,1.252233229,0,0,0,0,,0,1.252233229,,0,-1.063337288,,0,0.335643363
36,1,37,3,108_chilli_nuts.png,1.7,41_jelly_babies_berry_mix.png,1.85,1,3476,72,3189,2,-656,1748,1092,3,2,0.15,0.242061459,0.15,-0.988497522,-0.016205609,0.191908676,3.33,4.58,7.91,3.55,4.58,3.33,1.85,1.7,0,0.153257943,0.879209645,0.815768765,0.443865756,0.550000552,-0.306351979,0.335643363,-0.931631348,0.931631348,0,0,1,0,,-0.931631348,0,,0,-0.016205609,,0,0.335643363
37,1,38,9,50_nakd_rhubarb_and_custard.png,0.65,47_daim.png,1.7,0,2295,72,5333,2,-469,1159,690,2,1,1.05,1.694430214,1.05,1.517552533,-0.016205609,-0.551542361,0,3.83,3.83,2.35,0,3.83,0.65,1.7,1,-1.76481693,-1.021784182,-1.932083917,0.443865756,-2.735119304,0.041150029,-0.410230777,-0.667134796,0.667134796,0,0,1,0,,-0.667134796,0,,0,-0.016205609,,0,-0.410230777
38,1,39,2,107_graze_scream.png,1.55,109_kp_roast.png,2.3,0,3513,66,2712,2,-533,1753,1220,2,1,0.75,1.210307296,0.75,0.682202515,-0.464976329,0.215200537,2.83,5,7.83,3.85,2.83,5,1.55,2.3,1,0.115648632,1.354458101,0.128805594,1.783837851,-0.705230834,0.854304728,-0.410230777,-0.75765768,0.75765768,0,1,0,0,,0,-0.75765768,,0,-0.464976329,,-0.410230777,0
39,1,40,40,2_maynards_winegums.png,1.1,27_mars.png,0.95,1,4458,66,2996,2,172,1716,1888,3,2,-0.15,-0.242061459,0.15,-0.988497522,-0.464976329,0.810087269,4.08,4.58,8.66,2.05,4.58,4.08,0.95,1.1,1,0.505845236,-1.497032638,-1.245120746,-0.896106338,0.550000552,0.214901034,0.335643363,0.239508464,0.239508464,0,1,1,0,,0.239508464,0,,0,-0.464976329,,0.335643363,0
40,1,41,57,40_nestle_rolo.png,1.1,48_mentos_mint.png,0.95,0,2009,80,3501,1,-213,859,646,2,1,-0.15,-0.242061459,0.15,-0.988497522,0.58215535,-0.731582155,4.08,3.58,7.66,2.05,4.08,3.58,1.1,0.95,1,0.035728846,-1.497032638,-0.901639161,-1.231099362,0.191363013,-0.132600975,-0.410230777,-0.30504326,0.30504326,1,1,1,0,,-0.30504326,0,,0.58215535,0,,-0.410230777,0
41,1,42,41,11_lindt_orange.png,2,59_crunchie.png,1.7,0,3371,78,2463,1,-1516,2200,684,2,1,-0.3,-0.484122918,0.3,-0.570822512,0.43256511,0.12581015,4.75,5,9.75,3.7,4.75,5,2,1.7,1,1.018272102,1.116833873,1.15925035,0.443865756,0.671937316,0.854304728,-0.410230777,-2.148032603,2.148032603,1,0,0,0,,0,-2.148032603,,0.43256511,0,,0,-0.410230777
42,1,43,11,18_galaxy_bar.png,1.1,32_snickers.png,2.3,1,1700,82,2707,1,133,566,699,1,2,1.2,1.936491673,1.2,1.935227542,0.73174559,-0.926100673,4.75,5,9.75,3.4,5,4.75,2.3,1.1,1,1.018272102,0.641585416,1.84621352,-0.896106338,0.851256085,0.680553724,-1.156104918,0.184346082,0.184346082,1,0,0,0,,0,0.184346082,,0.73174559,0,,0,-1.156104918
43,1,44,60,57_food_doctor_mild_korma_crisps.png,1.25,110_bombay_mix.png,1.4,1,7466,42,2083,1,-133,3184,3051,5,2,0.15,0.242061459,0.15,-0.988497522,-2.260059207,2.703652653,0.08,3.58,3.66,2.65,3.58,0.08,1.4,1.25,1,-1.844736717,-0.546535725,-0.214675991,-0.561113315,-0.167274525,-2.565115031,1.827391645,-0.191889655,0.191889655,0,0,0,0,,0,-0.191889655,,0,-2.260059207,,0,1.827391645
44,1,45,5,113_walkers_cheese.png,2,32_snickers.png,2.3,1,1889,70,1681,1,-88,778,690,1,2,0.3,0.484122918,0.3,-0.570822512,-0.165795849,-0.807123327,4.33,5,9.33,4.3,5,4.33,2.3,2,1,0.820823218,2.067330786,1.84621352,1.113851804,0.851256085,0.388652038,-1.156104918,-0.128240752,0.128240752,0,0,0,0,,0,-0.128240752,,0,-0.165795849,,0,-1.156104918
45,1,46,3,108_chilli_nuts.png,1.7,41_jelly_babies_berry_mix.png,1.85,1,2227,74,1989,1,400,656,1056,1,2,0.15,0.242061459,0.15,-0.988497522,0.133384631,-0.594349025,3.33,4.58,7.91,3.55,4.58,3.33,1.85,1.7,1,0.153257943,0.879209645,0.815768765,0.443865756,0.550000552,-0.306351979,-1.156104918,0.561996238,0.561996238,1,1,0,1,,0,0.561996238,,0.133384631,0,,-1.156104918,0
46,1,47,46,112_lindt_extra_creamy.png,1.85,104_graze_sriracha.png,0.65,0,4259,70,2275,1,276,1668,1944,2,1,-1.2,-1.936491673,1.2,1.935227542,-0.165795849,0.684814825,4.08,0.33,4.41,2.5,4.08,0.33,1.85,0.65,1,-1.492149424,-0.784159953,0.815768765,-1.901085409,0.191363013,-2.391364027,-0.410230777,0.386608151,0.386608151,0,1,0,0,,0,0.386608151,,0,-0.165795849,,-0.410230777,0
47,1,48,52,42_dairy_milk_fruit_and_nut.png,1.55,38_milkybar.png,0.8,0,3505,76,2208,1,-1232,2046,814,2,1,-0.75,-1.210307296,0.75,0.682202515,0.28297487,0.210164459,4.33,4.33,8.66,2.35,4.33,4.33,1.55,0.8,1,0.505845236,-1.021784182,0.128805594,-1.566092386,0.370681783,0.388652038,-0.410230777,-1.746337305,1.746337305,1,0,0,0,,0,-1.746337305,,0.28297487,0,,0,-0.410230777
48,1,49,59,54_milkyway_magic_stars.png,1.55,30_starburst_original.png,1.1,0,2548,90,2177,1,-109,1093,984,2,1,-0.45,-0.726184377,0.45,-0.153147503,1.330106549,-0.392276389,5,4.83,9.83,2.65,5,4.83,1.55,1.1,1,1.055881413,-0.546535725,0.128805594,-0.896106338,0.851256085,0.736154046,-0.410230777,-0.157943574,0.157943574,1,1,0,0,,0,-0.157943574,,1.330106549,0,,-0.410230777,0
49,1,50,8,115_shapers_blueberry.png,1.1,43_mccoys_steak_crisps.png,2,1,3226,54,2619,1,-475,1598,1123,3,2,0.9,1.452368755,0.9,1.099877524,-1.362517768,0.034531234,1.33,5,6.33,3.1,5,1.33,2,1.1,1,-0.589525954,0.16633696,1.15925035,-0.896106338,0.851256085,-1.696360011,0.335643363,-0.675621317,0.675621317,0,0,1,0,,-0.675621317,0,,0,-1.362517768,,0,0.335643363
50,1,51,35,41_jelly_babies_berry_mix.png,1.85,40_nestle_rolo.png,1.1,0,4604,60,1663,1,-401,2117,1716,4,1,-0.75,-1.210307296,0.75,0.682202515,-0.913747048,0.901995695,4.58,4.08,8.66,2.95,4.58,4.08,1.85,1.1,1,0.505845236,-0.071287268,0.815768765,-0.896106338,0.550000552,0.214901034,1.081517504,-0.570954232,0.570954232,0,1,1,0,,-0.570954232,0,,0,-0.913747048,,1.081517504,0
51,1,52,14,116_boots_caramels.png,0.95,31_beef_jerky.png,2,0,6333,56,2889,1,-1359,3251,1892,4,1,1.05,1.694430214,1.05,1.517552533,-1.212927528,1.990418085,1.08,4.83,5.91,2.95,1.08,4.83,0.95,2,0,-0.786974838,-0.071287268,-1.245120746,1.113851804,-1.96046222,0.736154046,1.081517504,-1.925968653,1.925968653,0,0,1,0,,-1.925968653,0,,0,-1.212927528,,0,1.081517504
52,1,53,38,56_marshmallows.png,0.95,38_milkybar.png,0.8,0,5716,58,1441,1,-1054,2948,1894,4,1,-0.15,-0.242061459,0.15,-0.988497522,-1.063337288,1.602010558,3.83,4.33,8.16,1.75,3.83,4.33,0.95,0.8,1,0.270787041,-1.972281095,-1.245120746,-1.566092386,0.012044244,0.388652038,1.081517504,-1.494570533,1.494570533,0,0,1,0,,-1.494570533,0,,0,-1.063337288,,0,1.081517504
53,1,54,48,44_walkers_french_fries.png,2,53_eat_natural_almond_apricot.png,1.1,0,3562,80,1688,1,-1314,2180,866,2,1,-0.9,-1.452368755,0.9,1.099877524,0.58215535,0.246046516,4.33,4.33,8.66,3.1,4.33,4.33,2,1.1,1,0.505845236,0.16633696,1.15925035,-0.896106338,0.370681783,0.388652038,-0.410230777,-1.86231975,1.86231975,1,1,0,0,,0,-1.86231975,,0.58215535,0,,-0.410230777,0
